domestic_gas,heating_gas
0.096226455,0.366193236
0.322599638,0.57959223
0.032705972,0.036460695
0.02750427,0.23466382
0.322599638,0.57959223
3.813677406,0.673378309
0.029156422,0.560720947
0.029156422,0.560720947
0.074841027,1.352528204
0.357803094,0.210292496
0.042588743,0.639048418
0.322599638,0.57959223
0.048815539,0.636409562
0.032833511,0.719650745
0.017726724,0.007526078
0.322599638,0.57959223
0.101437594,0.621744224
0.066364847,0.057102961
0.17700395,0.156157661
0.079863788,0.021132007
0.254538007,0.029613568
0.322599638,0.57959223
0.025937254,0.25087818
0.001729906,1.125770094
0.322599638,0.57959223
0.322599638,0.57959223
0.134225048,0.716831461
0.063112266,0.950962289
0.11639834,0.439075233
0.322599638,0.57959223
0.096477999,0.364042333
0.322599638,0.57959223
0.322599638,0.57959223
0.060403409,0.651957702
0.08527751,1.887574809
0.039499521,0.021089902
0.05843415,1.202789658
0.021255609,0.375766709
0.185843516,1.695685383
0.322599638,0.57959223
0.080937437,0.018951518
0.097451801,0.563577816
0.322599638,0.57959223
0.322599638,0.57959223
0.188581935,0.471708481
0.104703939,0.218353557
0.017235803,0.771170755
0.12721259,0.475792656
0.322599638,0.57959223
0.130748977,0.562104934
0.226912528,0.692196232
0.178244823,0.288464788
0.166664921,0.827056103
0.028730894,0.202395508
0.786570671,0.700616647
0.137837436,0.040228192
0.00949314,0.63894436
0.238984204,0.041268058
0.829357852,1.750591387
0.0757172,1.072885523
0.101114142,0.719890853
0.322599638,0.57959223
0.207653904,0.62961649
0.322599638,0.57959223
0.322599638,0.57959223
0.072450134,0.409307863
0.041072483,0.264007758
0.629953778,0.641888508
0.322599638,0.57959223
0.064366715,2.997384437
0.322599638,0.57959223
0.011178147,0.745507841
0.035786022,0.11972482
0.75567522,0.806243585
0.072817375,0.263627561
0.322599638,0.57959223
0.622908318,0.904659735
0.123185352,1.678320175
0.628839944,0.881580028
0.020324756,0.729646517
0.322599638,0.57959223
0.034741191,0.744458809
4.04714962,0.691344698
0.014669148,0.171185639
4.226072264,0.325951824
0.20363922,0.465249447
2.767528115,1.341849228
1.144460385,0.428884904
0.322599638,0.57959223
0.360459895,1.007950087
0.068733356,0.277840437
0.135057442,0.705468567
0.270921306,1.772506827
0.018924078,0.110041817
0.047476906,0.327414462
0.047476906,0.327414462
0.181762591,0.443632916
0.014205602,0.002102632
0.322599638,0.57959223
0.17626613,0.209263683
0.018650987,0.02764164
0.322599638,0.57959223
0.097964685,0.441250375
